espn_id,year,league,division,conference
52,2001,ncaafb,FBS,Atlantic Coast Conference
59,2001,ncaafb,FBS,Atlantic Coast Conference
120,2001,ncaafb,FBS,Atlantic Coast Conference
150,2001,ncaafb,FBS,Atlantic Coast Conference
152,2001,ncaafb,FBS,Atlantic Coast Conference
153,2001,ncaafb,FBS,Atlantic Coast Conference
154,2001,ncaafb,FBS,Atlantic Coast Conference
228,2001,ncaafb,FBS,Atlantic Coast Conference
258,2001,ncaafb,FBS,Atlantic Coast Conference
38,2001,ncaafb,FBS,Big 12 Conference
66,2001,ncaafb,FBS,Big 12 Conference
142,2001,ncaafb,FBS,Big 12 Conference
158,2001,ncaafb,FBS,Big 12 Conference
197,2001,ncaafb,FBS,Big 12 Conference
201,2001,ncaafb,FBS,Big 12 Conference
239,2001,ncaafb,FBS,Big 12 Conference
245,2001,ncaafb,FBS,Big 12 Conference
251,2001,ncaafb,FBS,Big 12 Conference
2305,2001,ncaafb,FBS,Big 12 Conference
2306,2001,ncaafb,FBS,Big 12 Conference
2641,2001,ncaafb,FBS,Big 12 Conference
103,2001,ncaafb,FBS,Big East Conference
164,2001,ncaafb,FBS,Big East Conference
183,2001,ncaafb,FBS,Big East Conference
218,2001,ncaafb,FBS,Big East Conference
221,2001,ncaafb,FBS,Big East Conference
259,2001,ncaafb,FBS,Big East Conference
277,2001,ncaafb,FBS,Big East Conference
2390,2001,ncaafb,FBS,Big East Conference
77,2001,ncaafb,FBS,Big Ten Conference
84,2001,ncaafb,FBS,Big Ten Conference
127,2001,ncaafb,FBS,Big Ten Conference
130,2001,ncaafb,FBS,Big Ten Conference
135,2001,ncaafb,FBS,Big Ten Conference
194,2001,ncaafb,FBS,Big Ten Conference
213,2001,ncaafb,FBS,Big Ten Conference
275,2001,ncaafb,FBS,Big Ten Conference
356,2001,ncaafb,FBS,Big Ten Conference
2294,2001,ncaafb,FBS,Big Ten Conference
2509,2001,ncaafb,FBS,Big Ten Conference
5,2001,ncaafb,FBS,Conference USA
97,2001,ncaafb,FBS,Conference USA
151,2001,ncaafb,FBS,Conference USA
235,2001,ncaafb,FBS,Conference USA
248,2001,ncaafb,FBS,Conference USA
349,2001,ncaafb,FBS,Conference USA
2132,2001,ncaafb,FBS,Conference USA
2572,2001,ncaafb,FBS,Conference USA
2628,2001,ncaafb,FBS,Conference USA
2655,2001,ncaafb,FBS,Conference USA
41,2001,ncaafb,FBS,FBS Independents
58,2001,ncaafb,FBS,FBS Independents
87,2001,ncaafb,FBS,FBS Independents
328,2001,ncaafb,FBS,FBS Independents
2116,2001,ncaafb,FBS,FBS Independents
2426,2001,ncaafb,FBS,FBS Independents
2653,2001,ncaafb,FBS,FBS Independents
189,2001,ncaafb,FBS,Mid-American Conference
193,2001,ncaafb,FBS,Mid-American Conference
195,2001,ncaafb,FBS,Mid-American Conference
276,2001,ncaafb,FBS,Mid-American Conference
2006,2001,ncaafb,FBS,Mid-American Conference
2050,2001,ncaafb,FBS,Mid-American Conference
2084,2001,ncaafb,FBS,Mid-American Conference
2117,2001,ncaafb,FBS,Mid-American Conference
2199,2001,ncaafb,FBS,Mid-American Conference
2309,2001,ncaafb,FBS,Mid-American Conference
2459,2001,ncaafb,FBS,Mid-American Conference
2649,2001,ncaafb,FBS,Mid-American Conference
2711,2001,ncaafb,FBS,Mid-American Conference
21,2001,ncaafb,FBS,Mountain West Conference
36,2001,ncaafb,FBS,Mountain West Conference
167,2001,ncaafb,FBS,Mountain West Conference
252,2001,ncaafb,FBS,Mountain West Conference
254,2001,ncaafb,FBS,Mountain West Conference
2005,2001,ncaafb,FBS,Mountain West Conference
2439,2001,ncaafb,FBS,Mountain West Conference
2751,2001,ncaafb,FBS,Mountain West Conference
9,2001,ncaafb,FBS,Pac-12 Conference
12,2001,ncaafb,FBS,Pac-12 Conference
24,2001,ncaafb,FBS,Pac-12 Conference
25,2001,ncaafb,FBS,Pac-12 Conference
26,2001,ncaafb,FBS,Pac-12 Conference
30,2001,ncaafb,FBS,Pac-12 Conference
204,2001,ncaafb,FBS,Pac-12 Conference
264,2001,ncaafb,FBS,Pac-12 Conference
265,2001,ncaafb,FBS,Pac-12 Conference
2483,2001,ncaafb,FBS,Pac-12 Conference
2,2001,ncaafb,FBS,Southeastern Conference
8,2001,ncaafb,FBS,Southeastern Conference
57,2001,ncaafb,FBS,Southeastern Conference
61,2001,ncaafb,FBS,Southeastern Conference
96,2001,ncaafb,FBS,Southeastern Conference
99,2001,ncaafb,FBS,Southeastern Conference
145,2001,ncaafb,FBS,Southeastern Conference
238,2001,ncaafb,FBS,Southeastern Conference
333,2001,ncaafb,FBS,Southeastern Conference
344,2001,ncaafb,FBS,Southeastern Conference
2579,2001,ncaafb,FBS,Southeastern Conference
2633,2001,ncaafb,FBS,Southeastern Conference
70,2001,ncaafb,FBS,Sun Belt Conference
166,2001,ncaafb,FBS,Sun Belt Conference
249,2001,ncaafb,FBS,Sun Belt Conference
309,2001,ncaafb,FBS,Sun Belt Conference
2032,2001,ncaafb,FBS,Sun Belt Conference
2393,2001,ncaafb,FBS,Sun Belt Conference
2433,2001,ncaafb,FBS,Sun Belt Conference
48,2001,ncaafb,FCS,Atlantic 10 Conference
111,2001,ncaafb,FCS,Atlantic 10 Conference
113,2001,ncaafb,FCS,Atlantic 10 Conference
160,2001,ncaafb,FCS,Atlantic 10 Conference
222,2001,ncaafb,FCS,Atlantic 10 Conference
227,2001,ncaafb,FCS,Atlantic 10 Conference
256,2001,ncaafb,FCS,Atlantic 10 Conference
257,2001,ncaafb,FCS,Atlantic 10 Conference
311,2001,ncaafb,FCS,Atlantic 10 Conference
2275,2001,ncaafb,FCS,Atlantic 10 Conference
2729,2001,ncaafb,FCS,Atlantic 10 Conference
16,2001,ncaafb,FCS,Big Sky Conference
147,2001,ncaafb,FCS,Big Sky Conference
149,2001,ncaafb,FCS,Big Sky Conference
304,2001,ncaafb,FCS,Big Sky Conference
331,2001,ncaafb,FCS,Big Sky Conference
2463,2001,ncaafb,FCS,Big Sky Conference
2464,2001,ncaafb,FCS,Big Sky Conference
2502,2001,ncaafb,FCS,Big Sky Conference
2692,2001,ncaafb,FCS,Big Sky Conference
13,2001,ncaafb,FCS,FCS Independents
46,2001,ncaafb,FCS,FCS Independents
253,2001,ncaafb,FCS,FCS Independents
2127,2001,ncaafb,FCS,FCS Independents
2210,2001,ncaafb,FCS,FCS Independents
2226,2001,ncaafb,FCS,FCS Independents
2241,2001,ncaafb,FCS,FCS Independents
2335,2001,ncaafb,FCS,FCS Independents
2417,2001,ncaafb,FCS,FCS Independents
2535,2001,ncaafb,FCS,FCS Independents
2542,2001,ncaafb,FCS,FCS Independents
2608,2001,ncaafb,FCS,FCS Independents
43,2001,ncaafb,FCS,Ivy League
108,2001,ncaafb,FCS,Ivy League
159,2001,ncaafb,FCS,Ivy League
163,2001,ncaafb,FCS,Ivy League
171,2001,ncaafb,FCS,Ivy League
172,2001,ncaafb,FCS,Ivy League
219,2001,ncaafb,FCS,Ivy League
225,2001,ncaafb,FCS,Ivy League
314,2001,ncaafb,FCS,Metro Atlantic Athletic Conference
2099,2001,ncaafb,FCS,Metro Atlantic Athletic Conference
2184,2001,ncaafb,FCS,Metro Atlantic Athletic Conference
2217,2001,ncaafb,FCS,Metro Atlantic Athletic Conference
2325,2001,ncaafb,FCS,Metro Atlantic Athletic Conference
2368,2001,ncaafb,FCS,Metro Atlantic Athletic Conference
2561,2001,ncaafb,FCS,Metro Atlantic Athletic Conference
2612,2001,ncaafb,FCS,Metro Atlantic Athletic Conference
47,2001,ncaafb,FCS,Mid-Eastern Athletic Conference
50,2001,ncaafb,FCS,Mid-Eastern Athletic Conference
2065,2001,ncaafb,FCS,Mid-Eastern Athletic Conference
2169,2001,ncaafb,FCS,Mid-Eastern Athletic Conference
2261,2001,ncaafb,FCS,Mid-Eastern Athletic Conference
2415,2001,ncaafb,FCS,Mid-Eastern Athletic Conference
2448,2001,ncaafb,FCS,Mid-Eastern Athletic Conference
2450,2001,ncaafb,FCS,Mid-Eastern Athletic Conference
2569,2001,ncaafb,FCS,Mid-Eastern Athletic Conference
79,2001,ncaafb,FCS,Missouri Valley Football Conference
98,2001,ncaafb,FCS,Missouri Valley Football Conference
282,2001,ncaafb,FCS,Missouri Valley Football Conference
2287,2001,ncaafb,FCS,Missouri Valley Football Conference
2460,2001,ncaafb,FCS,Missouri Valley Football Conference
2623,2001,ncaafb,FCS,Missouri Valley Football Conference
2710,2001,ncaafb,FCS,Missouri Valley Football Conference
2754,2001,ncaafb,FCS,Missouri Valley Football Conference
399,2001,ncaafb,FCS,Northeast Conference
2115,2001,ncaafb,FCS,Northeast Conference
2405,2001,ncaafb,FCS,Northeast Conference
2523,2001,ncaafb,FCS,Northeast Conference
2529,2001,ncaafb,FCS,Northeast Conference
2598,2001,ncaafb,FCS,Northeast Conference
2599,2001,ncaafb,FCS,Northeast Conference
2619,2001,ncaafb,FCS,Northeast Conference
2681,2001,ncaafb,FCS,Northeast Conference
93,2001,ncaafb,FCS,Ohio Valley Conference
2197,2001,ncaafb,FCS,Ohio Valley Conference
2198,2001,ncaafb,FCS,Ohio Valley Conference
2546,2001,ncaafb,FCS,Ohio Valley Conference
2630,2001,ncaafb,FCS,Ohio Valley Conference
2634,2001,ncaafb,FCS,Ohio Valley Conference
2635,2001,ncaafb,FCS,Ohio Valley Conference
107,2001,ncaafb,FCS,Patriot League
119,2001,ncaafb,FCS,Patriot League
322,2001,ncaafb,FCS,Patriot League
2083,2001,ncaafb,FCS,Patriot League
2142,2001,ncaafb,FCS,Patriot League
2230,2001,ncaafb,FCS,Patriot League
2329,2001,ncaafb,FCS,Patriot League
294,2001,ncaafb,FCS,Pioneer Football League
301,2001,ncaafb,FCS,Pioneer Football League
2046,2001,ncaafb,FCS,Pioneer Football League
2086,2001,ncaafb,FCS,Pioneer Football League
2166,2001,ncaafb,FCS,Pioneer Football League
2168,2001,ncaafb,FCS,Pioneer Football League
2181,2001,ncaafb,FCS,Pioneer Football League
2413,2001,ncaafb,FCS,Pioneer Football League
2674,2001,ncaafb,FCS,Pioneer Football League
231,2001,ncaafb,FCS,Southern Conference
236,2001,ncaafb,FCS,Southern Conference
290,2001,ncaafb,FCS,Southern Conference
2026,2001,ncaafb,FCS,Southern Conference
2193,2001,ncaafb,FCS,Southern Conference
2643,2001,ncaafb,FCS,Southern Conference
2678,2001,ncaafb,FCS,Southern Conference
2717,2001,ncaafb,FCS,Southern Conference
2747,2001,ncaafb,FCS,Southern Conference
55,2001,ncaafb,FCS,Southland Conference
326,2001,ncaafb,FCS,Southland Conference
2377,2001,ncaafb,FCS,Southland Conference
2447,2001,ncaafb,FCS,Southland Conference
2466,2001,ncaafb,FCS,Southland Conference
2534,2001,ncaafb,FCS,Southland Conference
2617,2001,ncaafb,FCS,Southland Conference
2010,2001,ncaafb,FCS,Southwestern Athletic Conference
2011,2001,ncaafb,FCS,Southwestern Athletic Conference
2016,2001,ncaafb,FCS,Southwestern Athletic Conference
2029,2001,ncaafb,FCS,Southwestern Athletic Conference
2296,2001,ncaafb,FCS,Southwestern Athletic Conference
2400,2001,ncaafb,FCS,Southwestern Athletic Conference
2504,2001,ncaafb,FCS,Southwestern Athletic Conference
2582,2001,ncaafb,FCS,Southwestern Athletic Conference
2640,2001,ncaafb,FCS,Southwestern Athletic Conference
2755,2001,ncaafb,FCS,Southwestern Athletic Conference
23,2001,ncaafb,FCS,Western Athletic Conference
62,2001,ncaafb,FCS,Western Athletic Conference
68,2001,ncaafb,FCS,Western Athletic Conference
202,2001,ncaafb,FCS,Western Athletic Conference
242,2001,ncaafb,FCS,Western Athletic Conference
278,2001,ncaafb,FCS,Western Athletic Conference
2348,2001,ncaafb,FCS,Western Athletic Conference
2440,2001,ncaafb,FCS,Western Athletic Conference
2567,2001,ncaafb,FCS,Western Athletic Conference
2638,2001,ncaafb,FCS,Western Athletic Conference
11,2001,ncaafb,Division II/III,
29,2001,ncaafb,Division II/III,
60,2001,ncaafb,Division II/III,
80,2001,ncaafb,Division II/III,
81,2001,ncaafb,Division II/III,
86,2001,ncaafb,Division II/III,
109,2001,ncaafb,Division II/III,
118,2001,ncaafb,Division II/III,
126,2001,ncaafb,Division II/III,
129,2001,ncaafb,Division II/III,
131,2001,ncaafb,Division II/III,
134,2001,ncaafb,Division II/III,
137,2001,ncaafb,Division II/III,
148,2001,ncaafb,Division II/III,
173,2001,ncaafb,Division II/III,
184,2001,ncaafb,Division II/III,
199,2001,ncaafb,Division II/III,
209,2001,ncaafb,Division II/III,
210,2001,ncaafb,Division II/III,
215,2001,ncaafb,Division II/III,
223,2001,ncaafb,Division II/III,
233,2001,ncaafb,Division II/III,
271,2001,ncaafb,Division II/III,
272,2001,ncaafb,Division II/III,
284,2001,ncaafb,Division II/III,
297,2001,ncaafb,Division II/III,
302,2001,ncaafb,Division II/III,
330,2001,ncaafb,Division II/III,
341,2001,ncaafb,Division II/III,
351,2001,ncaafb,Division II/III,
365,2001,ncaafb,Division II/III,
367,2001,ncaafb,Division II/III,
427,2001,ncaafb,Division II/III,
569,2001,ncaafb,Division II/III,
2000,2001,ncaafb,Division II/III,
2003,2001,ncaafb,Division II/III,
2013,2001,ncaafb,Division II/III,
2022,2001,ncaafb,Division II/III,
2025,2001,ncaafb,Division II/III,
2028,2001,ncaafb,Division II/III,
2038,2001,ncaafb,Division II/III,
2043,2001,ncaafb,Division II/III,
2044,2001,ncaafb,Division II/III,
2049,2001,ncaafb,Division II/III,
2060,2001,ncaafb,Division II/III,
2071,2001,ncaafb,Division II/III,
2075,2001,ncaafb,Division II/III,
2080,2001,ncaafb,Division II/III,
2085,2001,ncaafb,Division II/III,
2089,2001,ncaafb,Division II/III,
2094,2001,ncaafb,Division II/III,
2098,2001,ncaafb,Division II/III,
2104,2001,ncaafb,Division II/III,
2107,2001,ncaafb,Division II/III,
2108,2001,ncaafb,Division II/III,
2110,2001,ncaafb,Division II/III,
2118,2001,ncaafb,Division II/III,
2120,2001,ncaafb,Division II/III,
2121,2001,ncaafb,Division II/III,
2122,2001,ncaafb,Division II/III,
2123,2001,ncaafb,Division II/III,
2129,2001,ncaafb,Division II/III,
2134,2001,ncaafb,Division II/III,
2148,2001,ncaafb,Division II/III,
2152,2001,ncaafb,Division II/III,
2161,2001,ncaafb,Division II/III,
2170,2001,ncaafb,Division II/III,
2177,2001,ncaafb,Division II/III,
2202,2001,ncaafb,Division II/III,
2205,2001,ncaafb,Division II/III,
2213,2001,ncaafb,Division II/III,
2220,2001,ncaafb,Division II/III,
2232,2001,ncaafb,Division II/III,
2233,2001,ncaafb,Division II/III,
2234,2001,ncaafb,Division II/III,
2237,2001,ncaafb,Division II/III,
2245,2001,ncaafb,Division II/III,
2249,2001,ncaafb,Division II/III,
2256,2001,ncaafb,Division II/III,
2258,2001,ncaafb,Division II/III,
2264,2001,ncaafb,Division II/III,
2271,2001,ncaafb,Division II/III,
2278,2001,ncaafb,Division II/III,
2283,2001,ncaafb,Division II/III,
2291,2001,ncaafb,Division II/III,
2292,2001,ncaafb,Division II/III,
2295,2001,ncaafb,Division II/III,
2304,2001,ncaafb,Division II/III,
2310,2001,ncaafb,Division II/III,
2315,2001,ncaafb,Division II/III,
2316,2001,ncaafb,Division II/III,
2318,2001,ncaafb,Division II/III,
2321,2001,ncaafb,Division II/III,
2323,2001,ncaafb,Division II/III,
2324,2001,ncaafb,Division II/III,
2331,2001,ncaafb,Division II/III,
2349,2001,ncaafb,Division II/III,
2364,2001,ncaafb,Division II/III,
2369,2001,ncaafb,Division II/III,
2373,2001,ncaafb,Division II/III,
2381,2001,ncaafb,Division II/III,
2383,2001,ncaafb,Division II/III,
2395,2001,ncaafb,Division II/III,
2396,2001,ncaafb,Division II/III,
2401,2001,ncaafb,Division II/III,
2403,2001,ncaafb,Division II/III,
2416,2001,ncaafb,Division II/III,
2424,2001,ncaafb,Division II/III,
2428,2001,ncaafb,Division II/III,
2441,2001,ncaafb,Division II/III,
2444,2001,ncaafb,Division II/III,
2449,2001,ncaafb,Division II/III,
2453,2001,ncaafb,Division II/III,
2471,2001,ncaafb,Division II/III,
2487,2001,ncaafb,Division II/III,
2491,2001,ncaafb,Division II/III,
2506,2001,ncaafb,Division II/III,
2508,2001,ncaafb,Division II/III,
2516,2001,ncaafb,Division II/III,
2528,2001,ncaafb,Division II/III,
2530,2001,ncaafb,Division II/III,
2532,2001,ncaafb,Division II/III,
2553,2001,ncaafb,Division II/III,
2564,2001,ncaafb,Division II/III,
2571,2001,ncaafb,Division II/III,
2583,2001,ncaafb,Division II/III,
2587,2001,ncaafb,Division II/III,
2591,2001,ncaafb,Division II/III,
2594,2001,ncaafb,Division II/III,
2601,2001,ncaafb,Division II/III,
2615,2001,ncaafb,Division II/III,
2627,2001,ncaafb,Division II/III,
2644,2001,ncaafb,Division II/III,
2651,2001,ncaafb,Division II/III,
2654,2001,ncaafb,Division II/III,
2657,2001,ncaafb,Division II/III,
2658,2001,ncaafb,Division II/III,
2667,2001,ncaafb,Division II/III,
2676,2001,ncaafb,Division II/III,
2688,2001,ncaafb,Division II/III,
2698,2001,ncaafb,Division II/III,
2700,2001,ncaafb,Division II/III,
2702,2001,ncaafb,Division II/III,
2703,2001,ncaafb,Division II/III,
2706,2001,ncaafb,Division II/III,
2707,2001,ncaafb,Division II/III,
2714,2001,ncaafb,Division II/III,
2736,2001,ncaafb,Division II/III,
2738,2001,ncaafb,Division II/III,
2740,2001,ncaafb,Division II/III,
2743,2001,ncaafb,Division II/III,
2745,2001,ncaafb,Division II/III,
2746,2001,ncaafb,Division II/III,
2758,2001,ncaafb,Division II/III,
2790,2001,ncaafb,Division II/III,
2800,2001,ncaafb,Division II/III,
2803,2001,ncaafb,Division II/III,
2804,2001,ncaafb,Division II/III,
2805,2001,ncaafb,Division II/III,
2812,2001,ncaafb,Division II/III,
2815,2001,ncaafb,Division II/III,
2816,2001,ncaafb,Division II/III,
2817,2001,ncaafb,Division II/III,
2818,2001,ncaafb,Division II/III,
2820,2001,ncaafb,Division II/III,
2822,2001,ncaafb,Division II/III,
2823,2001,ncaafb,Division II/III,
2824,2001,ncaafb,Division II/III,
2825,2001,ncaafb,Division II/III,
2826,2001,ncaafb,Division II/III,
2827,2001,ncaafb,Division II/III,
2828,2001,ncaafb,Division II/III,
2829,2001,ncaafb,Division II/III,
2830,2001,ncaafb,Division II/III,
2831,2001,ncaafb,Division II/III,
2832,2001,ncaafb,Division II/III,
2837,2001,ncaafb,Division II/III,
2838,2001,ncaafb,Division II/III,
2839,2001,ncaafb,Division II/III,
2842,2001,ncaafb,Division II/III,
2843,2001,ncaafb,Division II/III,
2844,2001,ncaafb,Division II/III,
2845,2001,ncaafb,Division II/III,
2846,2001,ncaafb,Division II/III,
2847,2001,ncaafb,Division II/III,
2848,2001,ncaafb,Division II/III,
2849,2001,ncaafb,Division II/III,
2850,2001,ncaafb,Division II/III,
2851,2001,ncaafb,Division II/III,
2876,2001,ncaafb,Division II/III,
2888,2001,ncaafb,Division II/III,
2904,2001,ncaafb,Division II/III,
2907,2001,ncaafb,Division II/III,
2965,2001,ncaafb,Division II/III,
2986,2001,ncaafb,Division II/III,
52,2002,ncaafb,FBS,Atlantic Coast Conference
59,2002,ncaafb,FBS,Atlantic Coast Conference
120,2002,ncaafb,FBS,Atlantic Coast Conference
150,2002,ncaafb,FBS,Atlantic Coast Conference
152,2002,ncaafb,FBS,Atlantic Coast Conference
153,2002,ncaafb,FBS,Atlantic Coast Conference
154,2002,ncaafb,FBS,Atlantic Coast Conference
228,2002,ncaafb,FBS,Atlantic Coast Conference
258,2002,ncaafb,FBS,Atlantic Coast Conference
38,2002,ncaafb,FBS,Big 12 Conference
66,2002,ncaafb,FBS,Big 12 Conference
142,2002,ncaafb,FBS,Big 12 Conference
158,2002,ncaafb,FBS,Big 12 Conference
197,2002,ncaafb,FBS,Big 12 Conference
201,2002,ncaafb,FBS,Big 12 Conference
239,2002,ncaafb,FBS,Big 12 Conference
245,2002,ncaafb,FBS,Big 12 Conference
251,2002,ncaafb,FBS,Big 12 Conference
2305,2002,ncaafb,FBS,Big 12 Conference
2306,2002,ncaafb,FBS,Big 12 Conference
2641,2002,ncaafb,FBS,Big 12 Conference
103,2002,ncaafb,FBS,Big East Conference
164,2002,ncaafb,FBS,Big East Conference
183,2002,ncaafb,FBS,Big East Conference
218,2002,ncaafb,FBS,Big East Conference
221,2002,ncaafb,FBS,Big East Conference
259,2002,ncaafb,FBS,Big East Conference
277,2002,ncaafb,FBS,Big East Conference
2390,2002,ncaafb,FBS,Big East Conference
77,2002,ncaafb,FBS,Big Ten Conference
84,2002,ncaafb,FBS,Big Ten Conference
127,2002,ncaafb,FBS,Big Ten Conference
130,2002,ncaafb,FBS,Big Ten Conference
135,2002,ncaafb,FBS,Big Ten Conference
194,2002,ncaafb,FBS,Big Ten Conference
213,2002,ncaafb,FBS,Big Ten Conference
275,2002,ncaafb,FBS,Big Ten Conference
356,2002,ncaafb,FBS,Big Ten Conference
2294,2002,ncaafb,FBS,Big Ten Conference
2509,2002,ncaafb,FBS,Big Ten Conference
5,2002,ncaafb,FBS,Conference USA
58,2002,ncaafb,FBS,Conference USA
97,2002,ncaafb,FBS,Conference USA
151,2002,ncaafb,FBS,Conference USA
235,2002,ncaafb,FBS,Conference USA
248,2002,ncaafb,FBS,Conference USA
349,2002,ncaafb,FBS,Conference USA
2132,2002,ncaafb,FBS,Conference USA
2572,2002,ncaafb,FBS,Conference USA
2628,2002,ncaafb,FBS,Conference USA
2655,2002,ncaafb,FBS,Conference USA
41,2002,ncaafb,FBS,FBS Independents
87,2002,ncaafb,FBS,FBS Independents
2426,2002,ncaafb,FBS,FBS Independents
2653,2002,ncaafb,FBS,FBS Independents
189,2002,ncaafb,FBS,Mid-American Conference
193,2002,ncaafb,FBS,Mid-American Conference
195,2002,ncaafb,FBS,Mid-American Conference
276,2002,ncaafb,FBS,Mid-American Conference
2006,2002,ncaafb,FBS,Mid-American Conference
2050,2002,ncaafb,FBS,Mid-American Conference
2084,2002,ncaafb,FBS,Mid-American Conference
2116,2002,ncaafb,FBS,Mid-American Conference
2117,2002,ncaafb,FBS,Mid-American Conference
2199,2002,ncaafb,FBS,Mid-American Conference
2309,2002,ncaafb,FBS,Mid-American Conference
2459,2002,ncaafb,FBS,Mid-American Conference
2649,2002,ncaafb,FBS,Mid-American Conference
2711,2002,ncaafb,FBS,Mid-American Conference
21,2002,ncaafb,FBS,Mountain West Conference
36,2002,ncaafb,FBS,Mountain West Conference
167,2002,ncaafb,FBS,Mountain West Conference
252,2002,ncaafb,FBS,Mountain West Conference
254,2002,ncaafb,FBS,Mountain West Conference
2005,2002,ncaafb,FBS,Mountain West Conference
2439,2002,ncaafb,FBS,Mountain West Conference
2751,2002,ncaafb,FBS,Mountain West Conference
9,2002,ncaafb,FBS,Pac-12 Conference
12,2002,ncaafb,FBS,Pac-12 Conference
24,2002,ncaafb,FBS,Pac-12 Conference
25,2002,ncaafb,FBS,Pac-12 Conference
26,2002,ncaafb,FBS,Pac-12 Conference
30,2002,ncaafb,FBS,Pac-12 Conference
204,2002,ncaafb,FBS,Pac-12 Conference
264,2002,ncaafb,FBS,Pac-12 Conference
265,2002,ncaafb,FBS,Pac-12 Conference
2483,2002,ncaafb,FBS,Pac-12 Conference
2,2002,ncaafb,FBS,Southeastern Conference
8,2002,ncaafb,FBS,Southeastern Conference
57,2002,ncaafb,FBS,Southeastern Conference
61,2002,ncaafb,FBS,Southeastern Conference
96,2002,ncaafb,FBS,Southeastern Conference
99,2002,ncaafb,FBS,Southeastern Conference
145,2002,ncaafb,FBS,Southeastern Conference
238,2002,ncaafb,FBS,Southeastern Conference
333,2002,ncaafb,FBS,Southeastern Conference
344,2002,ncaafb,FBS,Southeastern Conference
2579,2002,ncaafb,FBS,Southeastern Conference
2633,2002,ncaafb,FBS,Southeastern Conference
70,2002,ncaafb,FBS,Sun Belt Conference
166,2002,ncaafb,FBS,Sun Belt Conference
249,2002,ncaafb,FBS,Sun Belt Conference
309,2002,ncaafb,FBS,Sun Belt Conference
328,2002,ncaafb,FBS,Sun Belt Conference
2032,2002,ncaafb,FBS,Sun Belt Conference
2393,2002,ncaafb,FBS,Sun Belt Conference
2433,2002,ncaafb,FBS,Sun Belt Conference
48,2002,ncaafb,FCS,Atlantic 10 Conference
111,2002,ncaafb,FCS,Atlantic 10 Conference
113,2002,ncaafb,FCS,Atlantic 10 Conference
160,2002,ncaafb,FCS,Atlantic 10 Conference
222,2002,ncaafb,FCS,Atlantic 10 Conference
227,2002,ncaafb,FCS,Atlantic 10 Conference
256,2002,ncaafb,FCS,Atlantic 10 Conference
257,2002,ncaafb,FCS,Atlantic 10 Conference
311,2002,ncaafb,FCS,Atlantic 10 Conference
2275,2002,ncaafb,FCS,Atlantic 10 Conference
2729,2002,ncaafb,FCS,Atlantic 10 Conference
16,2002,ncaafb,FCS,Big Sky Conference
147,2002,ncaafb,FCS,Big Sky Conference
149,2002,ncaafb,FCS,Big Sky Conference
304,2002,ncaafb,FCS,Big Sky Conference
331,2002,ncaafb,FCS,Big Sky Conference
2464,2002,ncaafb,FCS,Big Sky Conference
2502,2002,ncaafb,FCS,Big Sky Conference
2692,2002,ncaafb,FCS,Big Sky Conference
324,2002,ncaafb,FCS,Big South Conference
2127,2002,ncaafb,FCS,Big South Conference
2241,2002,ncaafb,FCS,Big South Conference
2335,2002,ncaafb,FCS,Big South Conference
2678,2002,ncaafb,FCS,Big South Conference
13,2002,ncaafb,FCS,FCS Independents
253,2002,ncaafb,FCS,FCS Independents
2226,2002,ncaafb,FCS,FCS Independents
2229,2002,ncaafb,FCS,FCS Independents
2458,2002,ncaafb,FCS,FCS Independents
2542,2002,ncaafb,FCS,FCS Independents
2545,2002,ncaafb,FCS,FCS Independents
2608,2002,ncaafb,FCS,FCS Independents
43,2002,ncaafb,FCS,Ivy League
108,2002,ncaafb,FCS,Ivy League
159,2002,ncaafb,FCS,Ivy League
163,2002,ncaafb,FCS,Ivy League
171,2002,ncaafb,FCS,Ivy League
172,2002,ncaafb,FCS,Ivy League
219,2002,ncaafb,FCS,Ivy League
225,2002,ncaafb,FCS,Ivy League
314,2002,ncaafb,FCS,Metro Atlantic Athletic Conference
2099,2002,ncaafb,FCS,Metro Atlantic Athletic Conference
2184,2002,ncaafb,FCS,Metro Atlantic Athletic Conference
2325,2002,ncaafb,FCS,Metro Atlantic Athletic Conference
2368,2002,ncaafb,FCS,Metro Atlantic Athletic Conference
2561,2002,ncaafb,FCS,Metro Atlantic Athletic Conference
2612,2002,ncaafb,FCS,Metro Atlantic Athletic Conference
47,2002,ncaafb,FCS,Mid-Eastern Athletic Conference
50,2002,ncaafb,FCS,Mid-Eastern Athletic Conference
2065,2002,ncaafb,FCS,Mid-Eastern Athletic Conference
2169,2002,ncaafb,FCS,Mid-Eastern Athletic Conference
2261,2002,ncaafb,FCS,Mid-Eastern Athletic Conference
2415,2002,ncaafb,FCS,Mid-Eastern Athletic Conference
2448,2002,ncaafb,FCS,Mid-Eastern Athletic Conference
2450,2002,ncaafb,FCS,Mid-Eastern Athletic Conference
2569,2002,ncaafb,FCS,Mid-Eastern Athletic Conference
79,2002,ncaafb,FCS,Missouri Valley Football Conference
98,2002,ncaafb,FCS,Missouri Valley Football Conference
282,2002,ncaafb,FCS,Missouri Valley Football Conference
2287,2002,ncaafb,FCS,Missouri Valley Football Conference
2460,2002,ncaafb,FCS,Missouri Valley Football Conference
2623,2002,ncaafb,FCS,Missouri Valley Football Conference
2710,2002,ncaafb,FCS,Missouri Valley Football Conference
2754,2002,ncaafb,FCS,Missouri Valley Football Conference
399,2002,ncaafb,FCS,Northeast Conference
